,X_-TACT_TIME_mean,X_-CONVEYOR_SPEED_mean,PUMP_high,PUMP_low,CLN1_over-etching-ratio,CLN1_EPT_time,clean_count,EPT_clean_count_ratio,NH3_TREAT_-RF_FREQ-max,NH3_TREAT_-RF_FREQ-range,NH3_TREAT_-RF_FREQ-mean,NP_3_-MFC_VOL_SIH4-range,VENT_high,VENT_low,Output
33414,150,3150,27351.98333,10463.85714,0.001249375,12006,5,2401.2,13977,453,13639.25,1,16843.28824,7872.211111,0.83299685
6315,160,2650,54049.33333,10813.92,0.017648818,10029,5,2005.8,13996,448,13661.5833,1,19521.07692,8404.9,0.688028
1647,150,3150,41365.36,10501.9,0.001199041,10008,2,5004.0,13980,442,13640.0,1,14972.49375,5650.478571,0.5843809
23804,140,3150,36856.6,9255.75,0.002073255,13023,2,6511.5,13958,441,13644.0714,1,16522.675,5776.525,0.8617855
11847,150,3150,60504.0,13051.28571,0.001154468,12993,7,1856.142857,13979,449,13642.25,1,16504.21429,5859.76,0.6603135
4346,150,3150,44950.56667,10692.15714,0.007509763,9987,2,4993.5,13950,436,13648.1538,1,15887.81176,6285.92,0.6359482
33801,160,3150,34472.54,16247.525,0.004238345,12033,2,6016.5,13971,446,13636.5,1,16547.47059,7224.825,0.49815816
32090,145,3150,58037.36667,12198.96,0.000499875,12003,4,3000.75,13979,448,13612.4545,1,18916.66154,7312.581818,0.90992427
39691,140,3150,53539.53333,9721.866667,0.00150075,11994,2,5997.0,13972,443,13639.75,1,17978.975,5833.13,0.80450356
3016,150,3150,61042.0,11519.75,0.012316011,9987,6,1664.5,13978,456,13662.3077,1,17272.72143,6688.411111,0.48519677
19723,180,3150,65299.03333,10387.76667,0.00100025,11997,6,1999.5,13975,450,13637.5,1,18618.95385,7143.090909,0.6864668
6751,150,3150,50962.33333,9899.45,0.009606725,9993,2,4996.5,13964,436,13637.0,1,17392.54,7651.590909,0.60944
6963,150,3150,37713.93333,12145.68,0.00060006,9999,7,1428.428571,13986,458,13668.9231,1,18290.80667,7264.172727,0.5727427
622,90,3150,38116.72,10387.75714,0.001498801,10008,3,3336.0,13989,452,13676.0769,1,15290.81667,6161.626667,0.8471079
22902,140,3150,30501.86667,9721.8875,0.001844593,13011,6,2168.5,13969,446,13661.9231,1,16113.07778,5403.15,0.8350749
33118,150,3150,37126.33333,10432.15,0.008512769,11982,6,1997.0,13984,457,13641.25,1,19262.42,6865.977778,0.39418763
3821,150,3150,39103.3,9355.6375,0.002097064,10014,2,5007.0,13962,443,13629.75,1,15496.75625,7901.8,0.59986883
28186,160,3150,31097.1,13317.64,0.012497107,12963,3,4321.0,13962,431,13668.5385,1,17195.64615,5688.535714,0.8160237
13728,165,4200,30602.0,11231.2,0.007841328,13008,4,3252.0,13981,451,13668.7692,1,17601.36667,6371.969231,0.74311906
28992,170,3150,48111.9,9355.6375,0.000691244,13020,4,3255.0,13959,430,13636.5,1,14741.225,5688.528571,0.46906534
38454,140,3150,41008.44,12092.42,0.001242854,12069,4,3017.25,13974,449,13654.8571,1,17693.74,7094.663636,0.7748799
20101,140,3150,36211.56667,9522.1125,0.004158965,12984,5,2596.8,13975,453,13637.4167,1,15127.9,5536.335714,0.86873335
37498,140,3150,51472.16667,12305.5,0.001242854,12069,3,4023.0,13969,443,13662.3077,1,18788.28462,6046.21,0.83199567
16908,150,3150,70194.7,12731.64,0.00831793,12984,5,2596.8,13974,445,13640.25,1,19179.5,6688.411111,0.4635617
27701,170,3150,43979.98,12039.16,0.009497626,12003,6,2000.5,13991,458,13663.8571,1,17562.16667,7361.018182,0.49767333
